Airport.Code,Airport.Name,Time.Label,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System
SLC,"Salt Lake City, UT: Salt Lake City International",2003/09,September,2003,269,171,260
TPA,"Tampa, FL: Tampa International",2003/09,September,2003,135,197,283
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/10,October,2003,756,906,3355
BOS,"Boston, MA: Logan International",2003/10,October,2003,348,382,539
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/10,October,2003,280,412,334
CLT,"Charlotte, NC: Charlotte Douglas International",2003/10,October,2003,180,239,420
DCA,"Washington, DC: Ronald Reagan Washington National",2003/10,October,2003,226,172,374
DEN,"Denver, CO: Denver International",2003/10,October,2003,451,296,419
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/10,October,2003,700,635,892
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/10,October,2003,294,243,600
EWR,"Newark, NJ: Newark Liberty International",2003/10,October,2003,296,324,1710
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/10,October,2003,153,177,192
IAD,"Washington, DC: Washington Dulles International",2003/10,October,2003,280,309,510
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/10,October,2003,291,351,964
JFK,"New York, NY: John F. Kennedy International",2003/10,October,2003,201,156,373
LAS,"Las Vegas, NV: McCarran International",2003/10,October,2003,429,573,800
LAX,"Los Angeles, CA: Los Angeles International",2003/10,October,2003,612,578,1112
LGA,"New York, NY: LaGuardia",2003/10,October,2003,281,260,808
MCO,"Orlando, FL: Orlando International",2003/10,October,2003,267,249,298
MDW,"Chicago, IL: Chicago Midway International",2003/10,October,2003,151,336,361
MIA,"Miami, FL: Miami International",2003/10,October,2003,177,118,288
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/10,October,2003,363,202,819
ORD,"Chicago, IL: Chicago O'Hare International",2003/10,October,2003,673,896,2951
PDX,"Portland, OR: Portland International",2003/10,October,2003,147,245,255
PHL,"Philadelphia, PA: Philadelphia International",2003/10,October,2003,256,312,890
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/10,October,2003,450,566,530
SAN,"San Diego, CA: San Diego International",2003/10,October,2003,238,280,324
SEA,"Seattle, WA: Seattle/Tacoma International",2003/10,October,2003,363,425,898
SFO,"San Francisco, CA: San Francisco International",2003/10,October,2003,379,285,757
SLC,"Salt Lake City, UT: Salt Lake City International",2003/10,October,2003,326,216,325
TPA,"Tampa, FL: Tampa International",2003/10,October,2003,177,210,201
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/11,November,2003,789,888,2773
BOS,"Boston, MA: Logan International",2003/11,November,2003,311,414,418
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/11,November,2003,291,408,380
CLT,"Charlotte, NC: Charlotte Douglas International",2003/11,November,2003,201,314,397
DCA,"Washington, DC: Ronald Reagan Washington National",2003/11,November,2003,232,289,387
DEN,"Denver, CO: Denver International",2003/11,November,2003,679,387,822
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/11,November,2003,825,1028,1632
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/11,November,2003,354,348,670
EWR,"Newark, NJ: Newark Liberty International",2003/11,November,2003,252,567,2278
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/11,November,2003,188,261,288
IAD,"Washington, DC: Washington Dulles International",2003/11,November,2003,250,363,578
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/11,November,2003,403,562,1629
JFK,"New York, NY: John F. Kennedy International",2003/11,November,2003,215,163,301
LAS,"Las Vegas, NV: McCarran International",2003/11,November,2003,478,739,1541
LAX,"Los Angeles, CA: Los Angeles International",2003/11,November,2003,770,703,1746
LGA,"New York, NY: LaGuardia",2003/11,November,2003,280,381,1363
MCO,"Orlando, FL: Orlando International",2003/11,November,2003,285,336,360
MDW,"Chicago, IL: Chicago Midway International",2003/11,November,2003,165,393,664
MIA,"Miami, FL: Miami International",2003/11,November,2003,186,165,370
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/11,November,2003,401,455,1232
ORD,"Chicago, IL: Chicago O'Hare International",2003/11,November,2003,806,1778,9066
PDX,"Portland, OR: Portland International",2003/11,November,2003,201,273,296
PHL,"Philadelphia, PA: Philadelphia International",2003/11,November,2003,218,390,1027
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/11,November,2003,495,652,1108
SAN,"San Diego, CA: San Diego International",2003/11,November,2003,321,376,564
SEA,"Seattle, WA: Seattle/Tacoma International",2003/11,November,2003,383,568,819
SFO,"San Francisco, CA: San Francisco International",2003/11,November,2003,474,384,1735
SLC,"Salt Lake City, UT: Salt Lake City International",2003/11,November,2003,432,388,726
TPA,"Tampa, FL: Tampa International",2003/11,November,2003,203,275,259
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/12,December,2003,1303,1408,4277
BOS,"Boston, MA: Logan International",2003/12,December,2003,435,655,1065
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/12,December,2003,397,638,568
CLT,"Charlotte, NC: Charlotte Douglas International",2003/12,December,2003,317,523,540
DCA,"Washington, DC: Ronald Reagan Washington National",2003/12,December,2003,329,367,485
DEN,"Denver, CO: Denver International",2003/12,December,2003,969,516,629
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/12,December,2003,1046,1218,1975
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/12,December,2003,503,510,996
EWR,"Newark, NJ: Newark Liberty International",2003/12,December,2003,455,736,2538
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/12,December,2003,337,341,560
IAD,"Washington, DC: Washington Dulles International",2003/12,December,2003,393,481,595
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/12,December,2003,523,718,1483
JFK,"New York, NY: John F. Kennedy International",2003/12,December,2003,387,401,587
LAS,"Las Vegas, NV: McCarran International",2003/12,December,2003,646,1001,863
LAX,"Los Angeles, CA: Los Angeles International",2003/12,December,2003,1223,1065,1145
LGA,"New York, NY: LaGuardia",2003/12,December,2003,381,599,1696
MCO,"Orlando, FL: Orlando International",2003/12,December,2003,463,516,577
MDW,"Chicago, IL: Chicago Midway International",2003/12,December,2003,228,506,522
MIA,"Miami, FL: Miami International",2003/12,December,2003,364,259,575
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/12,December,2003,585,528,1321
ORD,"Chicago, IL: Chicago O'Hare International",2003/12,December,2003,1146,2311,8292
PDX,"Portland, OR: Portland International",2003/12,December,2003,312,405,338
PHL,"Philadelphia, PA: Philadelphia International",2003/12,December,2003,376,576,1211
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/12,December,2003,728,791,673
SAN,"San Diego, CA: San Diego International",2003/12,December,2003,491,500,484
SEA,"Seattle, WA: Seattle/Tacoma International",2003/12,December,2003,552,726,640
SFO,"San Francisco, CA: San Francisco International",2003/12,December,2003,612,562,2186
SLC,"Salt Lake City, UT: Salt Lake City International",2003/12,December,2003,846,578,868
TPA,"Tampa, FL: Tampa International",2003/12,December,2003,328,387,379
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/01,January,2004,1302,1265,4567
BOS,"Boston, MA: Logan International",2004/01,January,2004,450,699,642
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/01,January,2004,371,611,487
CLT,"Charlotte, NC: Charlotte Douglas International",2004/01,January,2004,303,498,564
DCA,"Washington, DC: Ronald Reagan Washington National",2004/01,January,2004,360,343,490
DEN,"Denver, CO: Denver International",2004/01,January,2004,850,638,930
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/01,January,2004,1078,1439,2752
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/01,January,2004,629,542,1272
EWR,"Newark, NJ: Newark Liberty International",2004/01,January,2004,439,642,1729
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/01,January,2004,353,376,544
IAD,"Washington, DC: Washington Dulles International",2004/01,January,2004,454,505,378
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/01,January,2004,465,637,1416
JFK,"New York, NY: John F. Kennedy International",2004/01,January,2004,430,501,600
LAS,"Las Vegas, NV: McCarran International",2004/01,January,2004,650,908,965
LAX,"Los Angeles, CA: Los Angeles International",2004/01,January,2004,944,900,1232
LGA,"New York, NY: LaGuardia",2004/01,January,2004,445,568,1482
